Week,Year,StoreURL,Store,Address,Category,Product,Info,Vilkor,Jfm,Price,Discount,PriceInfo,Priceunit,Image,Medlem
10,2021,https://www.coop.se/butiker-erbjudanden/coop/coop-angelholm/,Coop Ängelholm,Hitta hit Coop Ängelholm 26257 ÄNGELHOLM Hitta till butiken Östra vägen 17,Färskvaror,Ekologisk Kiwi,Ca 90 g. Klass 1. Jfr-pris 44:44/kg.,,Jfr-pris 44:44/kg.,,3 för12:-,3 för,,https://res.cloudinary.com/coopsverige/image/upload//t_200x200_png/v1440064221/49875.png,
10,2021,https://www.coop.se/butiker-erbjudanden/coop/coop-angelholm/,Coop Ängelholm,Hitta hit Coop Ängelholm 26257 ÄNGELHOLM Hitta till butiken Östra vägen 17,Färskvaror,Lime,Ca 90 g. Klass 1. Jfr-pris 37:-/kg.,,Jfr-pris 37:-/kg.,,3 för10:-,3 för,,https://res.cloudinary.com/coopsverige/image/upload//t_200x200_png/v1440064012/49833.png,
10,2021,https://www.coop.se/butiker-erbjudanden/coop/coop-angelholm/,Coop Ängelholm,Hitta hit Coop Ängelholm 26257 ÄNGELHOLM Hitta till butiken Östra vägen 17,Färskvaror,Läsk,150 cl. Välj mellan olika sorter. Jfr-pris 10:-/lit.,,Jfr-pris 10:-/lit.,,2 för30:-,2 för,,https://res.cloudinary.com/coopsverige/image/upload//t_200x200_png/v1570011589/383089.png,
10,2021,https://www.coop.se/butiker-erbjudanden/coop/coop-angelholm/,Coop Ängelholm,Hitta hit Coop Ängelholm 26257 ÄNGELHOLM Hitta till butiken Östra vägen 17,Färskvaror,Påsklilja tête-a-tête,Kruka ingår ej. Jfr-pris 24:50/st.,,Jfr-pris 24:50/st.,,2 för49:-,2 för,,https://res.cloudinary.com/coopsverige/image/upload//t_200x200_png/v1553696198/368846.png,
10,2021,https://www.coop.se/butiker-erbjudanden/coop/coop-angelholm/,Coop Ängelholm,Hitta hit Coop Ängelholm 26257 ÄNGELHOLM Hitta till butiken Östra vägen 17,Färskvaror,Laktosfri mjölk,"1,5 liter. Välj mellan olika sorter. Gäller ej ekologisk. Jfr-pris 11:67/lit.",,Jfr-pris 11:67/lit.,,2 för35:-,2 för,,https://res.cloudinary.com/coopsverige/image/upload//t_200x200_png/v1613343845/421110.png,
10,2021,https://www.coop.se/butiker-erbjudanden/coop/coop-angelholm/,Coop Ängelholm,Hitta hit Coop Ängelholm 26257 ÄNGELHOLM Hitta till butiken Östra vägen 17,Färskvaror,Ribs,500 g. Av fläsk. Välj mellan chili och bbq. Jfr-pris 89:-/kg.,,Jfr-pris 89:-/kg.,,2 för89:-,2 för,,https://res.cloudinary.com/coopsverige/image/upload//t_200x200_png/v1579702255/387243.png,
10,2021,https://www.coop.se/butiker-erbjudanden/coop/coop-angelholm/,Coop Ängelholm,Hitta hit Coop Ängelholm 26257 ÄNGELHOLM Hitta till butiken Östra vägen 17,Färskvaror,Ekologisk ost,Ca 500 g. Välj mellan Herrgård 28% och Präst 31%. Jfr-pris 99:-/kg.,,Jfr-pris 99:-/kg.,99,,,kg,https://res.cloudinary.com/coopsverige/image/upload//t_200x200_png/v1579797746/391804.png,
10,2021,https://www.coop.se/butiker-erbjudanden/coop/coop-angelholm/,Coop Ängelholm,Hitta hit Coop Ängelholm 26257 ÄNGELHOLM Hitta till butiken Östra vägen 17,Färskvaror,Ekologisk grillkorv,400 g. Jfr-pris 82:25/kg.,,Jfr-pris 82:25/kg.,32,,,st,https://res.cloudinary.com/coopsverige/image/upload//t_200x200_png/v1607608535/414540.png,
10,2021,https://www.coop.se/butiker-erbjudanden/coop/coop-angelholm/,Coop Ängelholm,Hitta hit Coop Ängelholm 26257 ÄNGELHOLM Hitta till butiken Östra vägen 17,Färskvaror,Vispgrädde,5 dl. 36%. Jfr-pris 40:-/lit.,,Jfr-pris 40:-/lit.,,2 för40:-,2 för,,https://res.cloudinary.com/coopsverige/image/upload//t_200x200_png/v1560159384/373512.png,
10,2021,https://www.coop.se/butiker-erbjudanden/coop/coop-angelholm/,Coop Ängelholm,Hitta hit Coop Ängelholm 26257 ÄNGELHOLM Hitta till butiken Östra vägen 17,Färskvaror,Lantkorv,800 g. Jfr-pris 31:25/kg.,,Jfr-pris 31:25/kg.,25,,,st,https://res.cloudinary.com/coopsverige/image/upload//t_200x200_png/v1530796838/316663.png,
10,2021,https://www.coop.se/butiker-erbjudanden/coop/coop-angelholm/,Coop Ängelholm,Hitta hit Coop Ängelholm 26257 ÄNGELHOLM Hitta till butiken Östra vägen 17,Färskvaror,Rimmat fläsklägg,Ca 1500 g. Med ben. Jfr-pris 29:90/kg.,,Jfr-pris 29:90/kg.,29,,,kg,https://res.cloudinary.com/coopsverige/image/upload//t_200x200_png/v1564650497/376996.png,Medlemspris
